TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Low_Fossil,7,HUMBOLDT,71,5,74.94,74.94,74.94,74.94
Arrow,1,Low_Fossil,7,HELMS,72,5,0.5,0.5,0.5,0.5
Arrow,1,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,77.17,77.17,77.17,77.17
Arrow,1,Low_Fossil,7,HUNTERS_POINT_4,74,5,119.89,119.89,119.89,119.89
Arrow,1,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.5,11.5,11.5,11.5
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,5,44.97,44.97,61.97,44.97
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,5,41.97,44.97,61.97,44.97
Becker,2,Big_Gas,2,LONG_BEACH,23,5,52.97,52.97,61.97,52.97
Becker,2,Big_Gas,2,NORTH_ISLAND,24,5,65.97,65.97,65.97,65.97
Becker,2,Big_Gas,2,ENCINA,25,5,41.97,44.97,61.97,44.97
Becker,2,Big_Gas,2,KEARNY,26,5,90.97,90.97,61.97,44.97
Becker,2,Big_Gas,2,SOUTH_BAY,27,5,43.97,44.97,61.97,44.97
Coase,3,Old_Timers,6,BIG_CREEK,61,5,0,0,0,0
Coase,3,Old_Timers,6,MOHAVE_1,62,5,34.5,34.5,34.5,34.5
Coase,3,Old_Timers,6,MOHAVE_2,63,5,175.5,175.5,175.5,175.5
Coase,3,Old_Timers,6,HIGHGROVE,64,5,136.61,136.61,136.61,136.61
Coase,3,Old_Timers,6,SAN_BERNARDINO,65,5,148.44,148.44,148.44,148.44
Debreu,4,Beachfront,4,COOLWATER,41,5,61.99,61.99,66.89,66.89
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,5,62.27,62.27,67.16,67.16
Debreu,4,Beachfront,4,ETIWANDA_5,43,5,91.69,91.69,98.89,98.89
Debreu,4,Beachfront,4,ELLWOOD,44,5,111.21,111.21,120.11,120.11
Debreu,4,Beachfront,4,MANDALAY_1-2,45,5,56.65,56.65,61.05,61.05
Debreu,4,Beachfront,4,MANDALAY_3,46,5,76.05,76.05,82.05,82.05
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,5,55.65,55.65,60.05,60.05
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,5,55.65,55.65,60.05,60.05
Friedman,5,Bay_Views,3,MORRO_BAY_1-2,31,5,47.33,47.33,47.33,47.33
Friedman,5,Bay_Views,3,MORRO_BAY_3-4,32,5,45,45,45,45
Friedman,5,Bay_Views,3,MOSS_LANDING_6,33,5,40,40,40,40
Friedman,5,Bay_Views,3,MOSS_LANDING_7,34,5,40,40,40,40
Friedman,5,Bay_Views,3,OAKLAND,35,5,150,150,150,150
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,5,54,54,60,54
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,5,50,50,55,50
Heckman,6,East_Bay,5,PITTSBURG_7,53,5,81,81,81,81
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,5,79,79,79,79
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,5,54,54,59,54
Heckman,6,East_Bay,5,POTRERO_HILL,56,5,95,95,95,95
Krugman,7,Big_Coal,1,Four Corners,11,5,346.5,36.5,36.5,346.5
Krugman,7,Big_Coal,1,ALAMITOS_7,12,5,75,75,75,75
Krugman,7,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,5,40.5,40.5,40.5,40.5
Krugman,7,Big_Coal,1,HUNTINGTON_BEACH_5,14,5,67,67,367,67
Krugman,7,Big_Coal,1,REDONDO_5-6,15,5,42.3,41.94,41.94,42.3
Krugman,7,Big_Coal,1,REDONDO_7-8,16,5,242,242,41.94,242
