TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Old_Timers,6,BIG_CREEK,61,3,5.00,1.00,1.00,10.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,3,34.50,40.00,34.50,34.50
Arrow,1,Old_Timers,6,MOHAVE_2,63,3,40.00,40.00,40.00,41.00
Arrow,1,Old_Timers,6,HIGHGROVE,64,3,49.61,55.00,65.00,49.61
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,3,55.00,53.94,53.94,54.00
Becker,2,Bay_Views,3,MORRO_BAY_1-2,31,3,39.99,39.99,39.99,39.99
Becker,2,Bay_Views,3,MORRO_BAY_3-4,32,3,39.99,39.99,39.99,39.99
Becker,2,Bay_Views,3,MOSS_LANDING_6,33,3,39.99,39.99,39.99,39.99
Becker,2,Bay_Views,3,MOSS_LANDING_7,34,3,39.99,39.99,39.99,39.99
Becker,2,Bay_Views,3,OAKLAND,35,3,62.00,62.00,62.00,62.00
Coase,3,East_Bay,5,PITTSBURGH_1-4,51,3,41.00,43.00,53.00,41.00
Coase,3,East_Bay,5,PITTSBURGH_5-6,52,3,41.00,43.00,53.00,41.00
Coase,3,East_Bay,5,PITTSBURG_7,53,3,60.00,60.00,60.00,60.00
Coase,3,East_Bay,5,CONTRA_COSTA_4-5,54,3,59.00,59.00,59.00,59.00
Coase,3,East_Bay,5,CONTRA_COSTA_6-7,55,3,41.00,43.00,53.00,41.00
Coase,3,East_Bay,5,POTRERO_HILL,56,3,70.00,70.00,70.00,70.00
Debreu,4,Big_Coal,1,Four Corners,11,3,42.50,42.39,47.44,42.39
Debreu,4,Big_Coal,1,ALAMITOS_7,12,3,100.00,250.00,500.00,500.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,3,41.94,42.50,47.44,42.39
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,3,55.00,150.00,100.00,500.00
Debreu,4,Big_Coal,1,REDONDO_5-6,15,3,41.94,42.50,47.44,42.39
Debreu,4,Big_Coal,1,REDONDO_7-8,16,3,41.94,42.39,47.44,42.39
Friedman,5,Beachfront,4,COOLWATER,41,3,42.39,42.39,61.99,42.39
Friedman,5,Beachfront,4,ETIWANDA_1-4,42,3,42.67,42.67,46.00,42.67
Friedman,5,Beachfront,4,ETIWANDA_5,43,3,62.89,62.89,66.00,62.89
Friedman,5,Beachfront,4,ELLWOOD,44,3,75.61,75.61,75.61,75.61
Friedman,5,Beachfront,4,MANDALAY_1-2,45,3,40.00,41.50,60.00,41.00
Friedman,5,Beachfront,4,MANDALAY_3,46,3,200.00,52.10,65.00,52.10
Friedman,5,Beachfront,4,ORMOND_BEACH_1,47,3,39.30,41.20,44.50,40.90
Friedman,5,Beachfront,4,ORMOND_BEACH_2,48,3,39.30,41.20,44.50,40.90
Heckman,6,Low_Fossil,7,HUMBOLDT,71,3,48.00,50.00,60.00,50.00
Heckman,6,Low_Fossil,7,HELMS,72,3,20.00,20.00,20.00,20.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_1-2,73,3,50.00,52.00,60.00,52.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_4,74,3,76.00,76.00,77.00,76.00
Heckman,6,Low_Fossil,7,DIABLO_CANYON_1,75,3,20.00,20.00,20.00,20.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,3,45.00,45.00,72.00,45.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,3,45.00,45.00,72.00,45.00
Krugman,7,Big_Gas,2,LONG_BEACH,23,3,55.00,55.00,72.00,55.00
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,3,65.00,65.00,72.00,65.00
Krugman,7,Big_Gas,2,ENCINA,25,3,45.00,45.00,72.00,45.00
Krugman,7,Big_Gas,2,KEARNY,26,3,100.00,100.00,100.00,100.00
Krugman,7,Big_Gas,2,SOUTH_BAY,27,3,45.00,45.00,72.00,45.00
Arrow,1,Old_Timers,6,BIG_CREEK,61,2,38.00,41.00,53.00,38.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,2,38.00,41.00,53.00,38.00
Arrow,1,Old_Timers,6,MOHAVE_2,63,2,38.00,41.00,53.00,38.00
Arrow,1,Old_Timers,6,HIGHGROVE,64,2,38.00,41.00,53.00,38.00
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,2,38.00,41.00,53.00,38.00
Becker,2,Bay_Views,3,MORRO_BAY_1-2,31,2,40.00,41.98,44.00,41.05
Becker,2,Bay_Views,3,MORRO_BAY_3-4,32,2,40.00,41.98,44.00,41.05
Becker,2,Bay_Views,3,MOSS_LANDING_6,33,2,40.00,41.98,44.00,41.05
Becker,2,Bay_Views,3,MOSS_LANDING_7,34,2,40.00,41.98,44.00,41.05
Becker,2,Bay_Views,3,OAKLAND,35,2,62.00,62.00,62.00,62.00
Coase,3,East_Bay,5,PITTSBURGH_1-4,51,2,41.50,45.00,53.00,41.50
Coase,3,East_Bay,5,PITTSBURGH_5-6,52,2,41.00,45.00,53.00,41.00
Coase,3,East_Bay,5,PITTSBURG_7,53,2,60.00,60.00,60.00,60.00
Coase,3,East_Bay,5,CONTRA_COSTA_4-5,54,2,59.00,59.00,59.00,59.00
Coase,3,East_Bay,5,CONTRA_COSTA_6-7,55,2,41.00,45.00,53.00,41.00
Coase,3,East_Bay,5,POTRERO_HILL,56,2,70.00,70.00,70.00,70.00
Debreu,4,Big_Coal,1,Four Corners,11,2,42.00,42.00,58.28,41.94
Debreu,4,Big_Coal,1,ALAMITOS_7,12,2,40.94,42.39,62.00,43.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,42.00,42.00,58.28,41.94
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,40.94,42.39,62.00,43.00
Debreu,4,Big_Coal,1,REDONDO_5-6,15,2,40.94,42.00,58.28,41.94
Debreu,4,Big_Coal,1,REDONDO_7-8,16,2,40.94,42.00,58.28,41.94
Friedman,5,Beachfront,4,COOLWATER,41,2,42.39,42.99,62.99,42.39
Friedman,5,Beachfront,4,ETIWANDA_1-4,42,2,42.70,43.50,43.50,43.50
Friedman,5,Beachfront,4,ETIWANDA_5,43,2,63.00,63.50,63.50,63.50
Friedman,5,Beachfront,4,ELLWOOD,44,2,75.61,75.61,75.61,75.61
Friedman,5,Beachfront,4,MANDALAY_1-2,45,2,40.95,42.50,62.00,42.50
Friedman,5,Beachfront,4,MANDALAY_3,46,2,52.10,52.10,62.00,52.60
Friedman,5,Beachfront,4,ORMOND_BEACH_1,47,2,38.06,42.99,61.99,42.39
Friedman,5,Beachfront,4,ORMOND_BEACH_2,48,2,38.06,42.99,61.99,42.39
Heckman,6,Low_Fossil,7,HUMBOLDT,71,2,47.44,50.00,60.00,50.00
Heckman,6,Low_Fossil,7,HELMS,72,2,10.00,10.00,10.00,10.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,49.17,52.00,60.00,52.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_4,74,2,75.89,75.89,76.50,75.89
Heckman,6,Low_Fossil,7,DIABLO_CANYON_1,75,2,10.00,10.00,10.00,10.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,2,44.00,44.00,110.00,44.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,2,41.00,41.00,110.00,41.00
Krugman,7,Big_Gas,2,LONG_BEACH,23,2,500.00,500.00,500.00,500.00
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,2,500.00,500.00,500.00,500.00
Krugman,7,Big_Gas,2,ENCINA,25,2,41.00,41.00,110.00,41.00
Krugman,7,Big_Gas,2,KEARNY,26,2,500.00,500.00,500.00,500.00
Krugman,7,Big_Gas,2,SOUTH_BAY,27,2,42.00,42.00,110.00,44.00
Arrow,1,Old_Timers,6,BIG_CREEK,61,1,41.00,53.94,73.72,42.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,1,41.00,53.94,73.72,42.00
Arrow,1,Old_Timers,6,MOHAVE_2,63,1,41.00,53.94,73.72,42.00
Arrow,1,Old_Timers,6,HIGHGROVE,64,1,41.00,53.94,73.72,42.00
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,1,41.00,53.94,73.72,42.00
Becker,2,Bay_Views,3,MORRO_BAY_1-2,31,1,40.00,42.50,43.00,42.00
Becker,2,Bay_Views,3,MORRO_BAY_3-4,32,1,40.00,42.50,43.00,41.05
Becker,2,Bay_Views,3,MOSS_LANDING_6,33,1,39.99,42.50,43.00,41.05
Becker,2,Bay_Views,3,MOSS_LANDING_7,34,1,40.00,42.50,43.00,41.05
Becker,2,Bay_Views,3,OAKLAND,35,1,62.00,62.00,62.00,62.00
Coase,3,East_Bay,5,PITTSBURGH_1-4,51,1,42.00,45.00,51.00,45.00
Coase,3,East_Bay,5,PITTSBURGH_5-6,52,1,42.00,45.00,51.00,45.00
Coase,3,East_Bay,5,PITTSBURG_7,53,1,60.00,60.00,60.00,60.00
Coase,3,East_Bay,5,CONTRA_COSTA_4-5,54,1,59.00,59.00,59.00,59.00
Coase,3,East_Bay,5,CONTRA_COSTA_6-7,55,1,42.00,45.00,51.00,45.00
Coase,3,East_Bay,5,POTRERO_HILL,56,1,70.00,70.00,70.00,70.00
Debreu,4,Big_Coal,1,Four Corners,11,1,39.00,41.50,47.00,40.75
Debreu,4,Big_Coal,1,ALAMITOS_7,12,1,39.06,42.67,47.44,42.39
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.00,41.50,47.00,40.50
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,39.06,42.67,47.44,42.39
Debreu,4,Big_Coal,1,REDONDO_5-6,15,1,39.05,41.50,47.00,41.00
Debreu,4,Big_Coal,1,REDONDO_7-8,16,1,39.05,41.50,47.00,41.00
Friedman,5,Beachfront,4,COOLWATER,41,1,42.39,43.83,44.83,42.39
Friedman,5,Beachfront,4,ETIWANDA_1-4,42,1,42.67,43.83,44.83,42.67
Friedman,5,Beachfront,4,ETIWANDA_5,43,1,62.89,62.89,62.89,62.89
Friedman,5,Beachfront,4,ELLWOOD,44,1,75.61,75.61,75.61,75.61
Friedman,5,Beachfront,4,MANDALAY_1-2,45,1,46.00,49.00,69.00,48.00
Friedman,5,Beachfront,4,MANDALAY_3,46,1,42.00,44.00,62.00,43.00
Friedman,5,Beachfront,4,ORMOND_BEACH_1,47,1,38.60,39.00,40.00,38.60
Friedman,5,Beachfront,4,ORMOND_BEACH_2,48,1,38.60,39.00,40.00,38.60
Heckman,6,Low_Fossil,7,HUMBOLDT,71,1,49.00,49.00,50.00,49.00
Heckman,6,Low_Fossil,7,HELMS,72,1,33.00,37.00,43.00,37.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,50.00,50.00,51.00,50.00
Heckman,6,Low_Fossil,7,HUNTERS_POINT_4,74,1,76.00,76.00,78.00,76.00
Heckman,6,Low_Fossil,7,DIABLO_CANYON_1,75,1,33.00,37.00,43.00,37.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,1,42.00,53.00,70.00,44.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,1,41.00,53.00,70.00,41.00
Krugman,7,Big_Gas,2,LONG_BEACH,23,1,500.00,53.00,70.00,500.00
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,1,500.00,500.00,500.00,500.00
Krugman,7,Big_Gas,2,ENCINA,25,1,41.00,53.00,70.00,41.00
Krugman,7,Big_Gas,2,KEARNY,26,1,500.00,500.00,500.00,500.00
Krugman,7,Big_Gas,2,SOUTH_BAY,27,1,42.00,53.00,70.00,80.00
