TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Beachfront,4,COOLWATER,41,6,42.39,42.39,42.39,42.39
Arrow,1,Beachfront,4,ETIWANDA_1-4,42,6,42.67,42.67,42.67,42.67
Arrow,1,Beachfront,4,ETIWANDA_5,43,6,62.89,62.89,62.89,62.89
Arrow,1,Beachfront,4,ELLWOOD,44,6,75.61,75.61,75.61,75.61
Arrow,1,Beachfront,4,MANDALAY_1-2,45,6,39.06,39.06,39.06,39.06
Arrow,1,Beachfront,4,MANDALAY_3,46,6,52.06,52.06,52.06,52.06
Arrow,1,Beachfront,4,ORMOND_BEACH_1,47,6,38.06,38.06,38.06,38.06
Arrow,1,Beachfront,4,ORMOND_BEACH_2,48,6,38.06,38.06,38.06,38.06
Becker,2,Big_Coal,1,Four Corners,11,6,36.5,36.5,36.5,36.5
Becker,2,Big_Coal,1,ALAMITOS_7,12,6,73.72,73.72,73.72,73.72
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,6,40.5,40.5,40.5,40.5
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_5,14,6,66.5,66.5,66.5,66.5
Becker,2,Big_Coal,1,REDONDO_5-6,15,6,41.94,41.94,41.94,41.94
Becker,2,Big_Coal,1,REDONDO_7-8,16,6,41.94,41.94,41.94,41.94
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,6,38.78,38.78,38.78,38.78
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,6,36.61,36.61,36.61,36.61
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,6,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,6,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,OAKLAND,35,6,61.17,61.17,61.17,61.17
Debreu,4,Old_Timers,6,BIG_CREEK,61,6,0,0,0,0
Debreu,4,Old_Timers,6,MOHAVE_1,62,6,34.5,34.5,34.5,34.5
Debreu,4,Old_Timers,6,MOHAVE_2,63,6,34.5,34.5,34.5,34.5
Debreu,4,Old_Timers,6,HIGHGROVE,64,6,49.61,49.61,49.61,49.61
Debreu,4,Old_Timers,6,SAN_BERNARDINO,65,6,53.94,53.94,53.94,53.94
Friedman,5,Big_Gas,2,EL_SEGUNDO_1-2,21,6,44.83,44.83,44.83,44.83
Friedman,5,Big_Gas,2,EL_SEGUNDO_3-4,22,6,41.22,41.22,41.22,41.22
Friedman,5,Big_Gas,2,LONG_BEACH,23,6,52.5,52.5,52.5,52.5
Friedman,5,Big_Gas,2,NORTH_ISLAND,24,6,65.5,65.5,65.5,65.5
Friedman,5,Big_Gas,2,ENCINA,25,6,41.67,41.67,41.67,41.67
Friedman,5,Big_Gas,2,KEARNY,26,6,90.06,90.06,90.06,90.06
Friedman,5,Big_Gas,2,SOUTH_BAY,27,6,43.83,43.83,43.83,43.83
Heckman,6,Low_Fossil,7,HUMBOLDT,71,6,47.44,47.44,47.44,47.44
Heckman,6,Low_Fossil,7,HELMS,72,6,0.5,0.5,0.5,0.5
Heckman,6,Low_Fossil,7,HUNTERS_POINT_1-2,73,6,49.17,49.17,49.17,49.17
Heckman,6,Low_Fossil,7,HUNTERS_POINT_4,74,6,75.89,75.89,75.89,75.89
Heckman,6,Low_Fossil,7,DIABLO_CANYON_1,75,6,11.5,11.5,11.5,11.5
Krugman,7,East_Bay,5,PITTSBURGH_1-4,51,6,40.94,40.94,40.94,40.94
Krugman,7,East_Bay,5,PITTSBURGH_5-6,52,6,36.61,36.61,36.61,36.61
Krugman,7,East_Bay,5,PITTSBURG_7,53,6,59.72,59.72,59.72,59.72
Krugman,7,East_Bay,5,CONTRA_COSTA_4-5,54,6,58.28,58.28,58.28,58.28
Krugman,7,East_Bay,5,CONTRA_COSTA_6-7,55,6,39.5,39.5,39.5,39.5
Krugman,7,East_Bay,5,POTRERO_HILL,56,6,69.83,69.83,69.83,69.83
Arrow,1,Beachfront,4,COOLWATER,41,5,42.39,42.39,42.39,42.39
Arrow,1,Beachfront,4,ETIWANDA_1-4,42,5,42.67,42.67,42.67,42.67
